display_name	item_id	type_a	type_b	max_stack	rank
Anubis's Talisman	Otomo_DFEarth_ElementBoost_1	Accessory	Accessory	1	3
Anubis's Talisman Schematic	Blueprint_Otomo_DFEarth_ElementBoost_1	Blueprint	Blueprint	9999	8
Applied Cooling Handbook I	WorkSuitability_AddTicket_Cool	Consume	NONE	9999	1
Applied Gathering Handbook I	WorkSuitability_AddTicket_Collection	Consume	NONE	9999	1
Applied Generating Electricity Handbook I	WorkSuitability_AddTicket_GenerateElectricity	Consume	NONE	9999	1
Applied Handiwork Handbook I	WorkSuitability_AddTicket_Handcraft	Consume	NONE	9999	1
Applied Kindling Handbook I	WorkSuitability_AddTicket_EmitFlame	Consume	NONE	9999	1
Applied Lumbering Handbook I	WorkSuitability_AddTicket_Deforest	Consume	NONE	9999	1
Applied Medicine Production Handbook I	WorkSuitability_AddTicket_ProductMedicine	Consume	NONE	9999	1
Applied Mining Handbook I	WorkSuitability_AddTicket_Mining	Consume	NONE	9999	1
Applied Planting Handbook I	WorkSuitability_AddTicket_Seeding	Consume	NONE	9999	1
Applied Ranching Handbook I	WorkSuitability_AddTicket_MonsterFarm	Consume	NONE	9999	1
Applied Transporting Handbook I	WorkSuitability_AddTicket_Transport	Consume	NONE	9999	1
Applied Watering Handbook I	WorkSuitability_AddTicket_Watering	Consume	NONE	9999	1
Aquatic Construction Kit	WaterBuildKit	Essential	Essential_UnlockPlayerFuture	9999	4
Aquatic Pal Fluids	PalFluid	Material	MaterialMonster	9999	1
Arrow	Arrow	Ammo	ConsumeBullet	9999	1
Arsox Bounty Token	BossDefeatReward_FlameBuffalo	Essential	NONE	9999	1
Arsox Saddle	SkillUnlock_FlameBuffalo	Essential	Essential_PalGear	999999	0
Assault Rifle	AssaultRifle_Default1	Weapon	WeaponAssaultRifle	1	3
Assault Rifle	AssaultRifle_Default2	Weapon	WeaponAssaultRifle	1	3
Assault Rifle	AssaultRifle_Default3	Weapon	WeaponAssaultRifle	1	3
Assault Rifle	AssaultRifle_Default4	Weapon	WeaponAssaultRifle	1	3
Assault Rifle	AssaultRifle_Default5	Weapon	WeaponAssaultRifle	1	3
Assault Rifle Ammo	AssaultRifleBullet	Ammo	ConsumeBullet	9999	3
Assault Rifle Schematic 1	Blueprint_AssaultRifle_Default2	Blueprint	Blueprint	9999	1
Assault Rifle Schematic 2	Blueprint_AssaultRifle_Default3	Blueprint	Blueprint	9999	1
Assault Rifle Schematic 3	Blueprint_AssaultRifle_Default4	Blueprint	Blueprint	9999	1
Assault Rifle Schematic 4	Blueprint_AssaultRifle_Default5	Blueprint	Blueprint	9999	1
Astegon Bounty Token	BossDefeatReward_BlackMetalDragon	Essential	NONE	9999	1
Astegon Saddle	SkillUnlock_BlackMetalDragon	Essential	Essential_PalGear	999999	0
Attack Pendant	Accessory_AT_1	Accessory	Accessory	1	2
Attack Pendant	Accessory_AT_2	Accessory	Accessory	1	2
Attack Pendant	Accessory_AT_3	Accessory	Accessory	1	2
Attack Pendant Schematic	Blueprint_Accessory_AT_1_2	Blueprint	Blueprint	9999	8
Attack Support Whistle	Otomo_Attack_up1	Accessory	Accessory	1	2
Attack Support Whistle	Otomo_Attack_up2	Accessory	Accessory	1	2
Attack Support Whistle	Otomo_Attack_up3	Accessory	Accessory	1	2
Attack Support Whistle Schematic	Blueprint_Otomo_Attack_up1_2	Blueprint	Blueprint	9999	8
Auri Hat	HeadEquip048	Armor	ArmorHead	1	99
Average Feed Bag	AutoMealPouch_Tier2	Essential	Essential_UnlockPlayerFuture	9999	2
Axe4	Axe_Tier_03	Weapon	WeaponMelee	1	3
Axel Hat	GYM_Head_Electric	Armor	ArmorHead	1	99
Azurmane Bounty Token	BossDefeatReward_BlueThunderHorse	Essential	NONE	9999	1
Azurmane Saddle	SkillUnlock_BlueThunderHorse	Essential	Essential_PalGear	9999	0
Azurobe Bounty Token	BossDefeatReward_BlueDragon	Essential	NONE	9999	1
Azurobe Cryst Saddle	SkillUnlock_BlueDragon_Ice	Essential	Essential_PalGear	9999	0
Azurobe Saddle	SkillUnlock_BlueDragon	Essential	Essential_PalGear	999999	0
Baked Berries	Baked_Berries	Food	FoodDishVegetable	9999	1
Baked Mushroom	BakedMushroom	Food	FoodDishVegetable	9999	1
Ballistic Shield	HandgunShield	Weapon	WeaponHandgun	1	2
Bastigor's Hammer	SkillUnlock_SnowTigerBeastman	Essential	Essential_PalGear	9999	0
Bat	Bat2	Weapon	WeaponMelee	1	1
Battle Ticket	BattleTicket	Material	MaterialJewelry	9999	4
Beakon Bounty Token	BossDefeatReward_ThunderBird	Essential	NONE	9999	1
Beakon Cryst Saddle	SkillUnlock_ThunderBird_Ice	Essential	Essential_PalGear	9999	0
Beakon Saddle	SkillUnlock_ThunderBird	Essential	Essential_PalGear	999999	0
Beam Launcher	BeamLauncher	Weapon	WeaponRocketLauncher	1	10
Beam Launcher	BeamLauncher_2	Weapon	WeaponRocketLauncher	1	10
Beam Launcher	BeamLauncher_3	Weapon	WeaponRocketLauncher	1	10
Beam Launcher	BeamLauncher_4	Weapon	WeaponRocketLauncher	1	10
Beam Launcher	BeamLauncher_5	Weapon	WeaponRocketLauncher	1	10
Beam Launcher Ammo	BeamLauncherBullet	Ammo	ConsumeBullet	9999	10
Beam Launcher Schematic 1	Blueprint_BeamLauncher_2	Blueprint	Blueprint	9999	1
Beam Launcher Schematic 2	Blueprint_BeamLauncher_3	Blueprint	Blueprint	9999	1
Beam Launcher Schematic 3	Blueprint_BeamLauncher_4	Blueprint	Blueprint	9999	1
Beam Launcher Schematic 4	Blueprint_BeamLauncher_5	Blueprint	Blueprint	9999	1
Beam Scatter	WidePenetrateShotgun	Weapon	WeaponShotgun	1	10
Beam Scatter	WidePenetrateShotgun_2	Weapon	WeaponShotgun	1	10
Beam Scatter	WidePenetrateShotgun_3	Weapon	WeaponShotgun	1	10
Beam Scatter	WidePenetrateShotgun_4	Weapon	WeaponShotgun	1	10
Beam Scatter	WidePenetrateShotgun_5	Weapon	WeaponShotgun	1	10
Beam Scatter Ammo	WidePenetrateShotgunBullet	Ammo	ConsumeBullet	9999	10
Beam Scatter Schematic 1	Blueprint_WidePenetrateShotgun_2	Blueprint	Blueprint	9999	1
Beam Scatter Schematic 2	Blueprint_WidePenetrateShotgun_3	Blueprint	Blueprint	9999	1
Beam Scatter Schematic 3	Blueprint_WidePenetrateShotgun_4	Blueprint	Blueprint	9999	1
Beam Scatter Schematic 4	Blueprint_WidePenetrateShotgun_5	Blueprint	Blueprint	9999	1
Beam Sword	BeamSword	Weapon	WeaponMelee	1	4
Beam Sword	BeamSword_2	Weapon	WeaponMelee	1	4
Beam Sword	BeamSword_3	Weapon	WeaponMelee	1	4
Beam Sword	BeamSword_4	Weapon	WeaponMelee	1	4
Beam Sword	BeamSword_5	Weapon	WeaponMelee	1	4
Beam Sword Schematic 1	Blueprint_BeamSword_2	Blueprint	Blueprint	9999	1
Beam Sword Schematic 2	Blueprint_BeamSword_3	Blueprint	Blueprint	9999	1
Beam Sword Schematic 3	Blueprint_BeamSword_4	Blueprint	Blueprint	9999	1
Beam Sword Schematic 4	Blueprint_BeamSword_5	Blueprint	Blueprint	9999	1
Beautiful Flower	Poppy	Material	Drug	9999	1
Beegarde's Spear	Spear_SoldierBee	Weapon	WeaponMelee	1	99
Beer	Beer	Food	FoodProcessed	9999	1
Beginner Bait	FishingBait_1_A	Consume	NONE	9999	1
Beginner Fishing Rod (Chillet)	FishingRod_01_1	Weapon	NONE	1	2
Beginner Fishing Rod (Gumoss)	FishingRod_01_2	Weapon	NONE	1	2
Beginner Fishing Rod (Gumoss) Schematic	Blueprint_FishingRod_01_2	Blueprint	Blueprint	9999	1
Bellanoir Libero (Ultra) Slab	PalSummon_NightLady_Dark_2	Consume	ConsumeOther	9999	1
Bellanoir Libero (Ultra) Slab Fragment	PalSummon_NightLady_Dark_Parts_2	Blueprint	Blueprint	9999	1
Bellanoir Libero's Slab	PalSummon_NightLady_Dark	Consume	ConsumeOther	9999	1
Bellanoir Libero's Slab Fragment	PalSummon_NightLady_Dark_Parts	Blueprint	Blueprint	9999	1
Bellanoir's Slab	PalSummon_NightLady	Consume	ConsumeOther	9999	1
Bellanoir's Slab Fragment	PalSummon_NightLady_Parts	Blueprint	Blueprint	9999	1
Berry Seeds	BerrySeeds	Material	MaterialMonster	9999	1
Bio Battery	Bio_Battery	Material	MaterialProccessing	9999	4
Bjorn Hat	GYM_Head_Viking	Armor	ArmorHead	1	99
Blazamut Bounty Token	BossDefeatReward_KingBahamut	Essential	NONE	9999	1
Blazamut Ryu (Ultra) Slab	PalSummon_KingBahamut_Dragon_2	Consume	ConsumeOther	9999	1
Blazamut Ryu (Ultra) Slab Fragment	PalSummon_KingBahamut_Dragon_Parts_2	Blueprint	Blueprint	9999	1
Blazamut Ryu Saddle	SkillUnlock_KingBahamut_Dragon	Essential	Essential_PalGear	999999	0
Blazamut Ryu Slab	PalSummon_KingBahamut_Dragon	Consume	ConsumeOther	9999	1
Blazamut Ryu Slab Fragment	PalSummon_KingBahamut_Dragon_Parts	Blueprint	Blueprint	9999	1
Blazamut Saddle	SkillUnlock_KingBahamut	Essential	Essential_PalGear	999999	0
Blazamut's Talisman	Otomo_DFFire_ElementBoost_1	Accessory	Accessory	1	3
Blazamut's Talisman Schematic	Blueprint_Otomo_DFFire_ElementBoost_1	Blueprint	Blueprint	9999	8
Blazehowl Bounty Token	BossDefeatReward_Manticore	Essential	NONE	9999	1
Blazehowl Noct Saddle	SkillUnlock_Manticore_Dark	Essential	Essential_PalGear	999999	0
Blazehowl Ring	Accessory_Otomo_Fire_1	Accessory	Accessory	1	3
Blazehowl Ring Schematic	Blueprint_Accessory_Otomo_Fire_1	Blueprint	Blueprint	9999	8
Blazehowl Saddle	SkillUnlock_Manticore	Essential	Essential_PalGear	999999	0
BLT	BLT	Food	FoodDishMeat	9999	3
Blueprint 5 of University Hat	Blueprint_Head010_5	Blueprint	Blueprint	9999	1
Blueprint for Golden Crown 5	Blueprint_Head002_5	Blueprint	Blueprint	9999	1
Blueprint of Bowler Hat 5	Blueprint_Head012_5	Blueprint	Blueprint	9999	1
Blueprint of Capppen Hat 5	Blueprint_Head016_5	Blueprint	Blueprint	9999	1
Blueprint of Exploration Hat 5	Blueprint_Head009_5	Blueprint	Blueprint	9999	1
Blueprint of Helmet 5	Blueprint_Head006_5	Blueprint	Blueprint	9999	1
Blueprint of Soft Hat 5	Blueprint_Head005_5	Blueprint	Blueprint	9999	1
Blueprint of the King's Crown 5	Blueprint_Head001_5	Blueprint	Blueprint	9999	1
Blueprint of the Tricorn Hat 5	Blueprint_Head008_5	Blueprint	Blueprint	9999	1
Bolognese Sauce	MeatSauce	Food	FoodDishMeat	9999	3
Boltmane Saddle	SkillUnlock_ElecLion	Essential	Essential_PalGear	999999	0
Bone	Bone	Material	MaterialMonster	9999	1
Boost Gun	PalDopingShot	Weapon	WeaponHandgun	1	2
Boost Gun	PalDopingShot_3	Weapon	WeaponHandgun	1	2
Boost Gun Ammo	PalDopingShotBullet	Ammo	ConsumeBullet	9999	2
Bowler Hat	Head012	Armor	ArmorHead	1	1
Bowler Hat	Head012_2	Armor	ArmorHead	1	1
Bowler Hat	Head012_3	Armor	ArmorHead	1	1
Bowler Hat	Head012_4	Armor	ArmorHead	1	1
Bowler Hat	Head012_5	Armor	ArmorHead	1	1
Bowler Hat Schematic 1	Blueprint_Head012_1	Blueprint	Blueprint	9999	1
Bowler Hat Schematic 2	Blueprint_Head012_2	Blueprint	Blueprint	9999	1
Bowler Hat Schematic 3	Blueprint_Head012_3	Blueprint	Blueprint	9999	1
Bowler Hat Schematic 4	Blueprint_Head012_4	Blueprint	Blueprint	9999	1
Braloha Saddle	SkillUnlock_Plesiosaur	Essential	Essential_PalGear	9999	0
Bread	Pan	Food	FoodDishVegetable	9999	1
Breeder's Precious Pal	QuestItem_Breeder_1	Consume	ConsumeOther	1	1
Broiled Dumud	BakedMeat_LazyCatfish	Food	FoodDishFish	9999	1
Broncherry Aqua Bounty Token	BossDefeatReward_SakuraSaurus_Water	Essential	NONE	9999	1
Broncherry Aqua Saddle	SkillUnlock_SakuraSaurus_Water	Essential	Essential_PalGear	999999	0
Broncherry Bounty Token	BossDefeatReward_SakuraSaurus	Essential	NONE	9999	1
Broncherry Fried Noodles	Yakisoba	Food	FoodDishMeat	9999	3
Broncherry Meat	Meat_SakuraSaurus	Food	FoodMeat	9999	3
Broncherry Rib Roast	BakedMeat_SakuraSaurus	Food	FoodDishMeat	9999	1
Broncherry Saddle	SkillUnlock_SakuraSaurus	Essential	Essential_PalGear	999999	0
Building Repair Kit	RepairKit	Consume	ConsumeOther	9999	1
Bulldosu Saddle	SkillUnlock_SumoDog	Essential	Essential_PalGear	9999	0
Burden Elixir	Elixir_weight_02	Consume	ConsumeGainStatusPoints	9999	4
Burden Remedy	Elixir_weight_01	Consume	ConsumeGainStatusPoints	9999	3
Bushi Bounty Token	BossDefeatReward_Ronin	Essential	NONE	9999	1
Cake	Cake	Food	FoodDishVegetable	9999	2
Caprity Meat	Meat_BerryGoat	Food	FoodMeat	9999	2
Caprity Noct Bounty Token	BossDefeatReward_BerryGoat_Dark	Essential	NONE	9999	1
Caramel Cotton Candy	Sweet_Caramel	Food	FoodVegetable	9999	1
Carbon Fiber	CarbonFiber	Material	MaterialProccessing	9999	3
Carbonara	Carbonara	Food	FoodDishMeat	9999	3
Carrot	Carrot	Food	FoodVegetable	9999	1
Carrot Seeds	CarrotSeeds	Material	MaterialMonster	9999	1
Carrying Lotus (L)	Lotus_weight_02	Material	MaterialMonster	9999	4
Carrying Lotus (S)	Lotus_weight_01	Material	MaterialMonster	9999	3
Cattiva Effigy	Relic_08	Essential	Essential	9999	9
Cattiva Hat	HeadEquip033	Armor	ArmorHead	1	99
Cavern Mushroom	CaveMushroom	Food	FoodVegetable	9999	1
Cawgnito Hat	HeadEquip027	Armor	ArmorHead	1	99
Celaray Lux's Gloves	SkillUnlock_FlyingManta_Thunder	Essential	Essential_PalGear	999999	999
Celaray's Gloves	SkillUnlock_FlyingManta	Essential	Essential_PalGear	999999	999
Celesdir Bounty Token	BossDefeatReward_WhiteDeer	Essential	NONE	9999	1
Celesdir Noct Bounty Token	BossDefeatReward_WhiteDeer_Dark	Essential	NONE	9999	1
Celesdir Noct Saddle	SkillUnlock_WhiteDeer_Dark	Essential	Essential_PalGear	9999	0
Celesdir Saddle	SkillUnlock_WhiteDeer	Essential	Essential_PalGear	9999	0
Celestial Emperor's Baton	Otomo_ATNormal_ElementBoost_1	Accessory	Accessory	1	3
Celestial Emperor's Baton Schematic	Blueprint_Otomo_ATNormal_ElementBoost_1	Blueprint	Blueprint	9999	8
Celestial Sigil	PalSummon_YakushimaBoss002	Consume	ConsumeOther	9999	1
Celestial Sigil [Master]	PalSummon_YakushimaBoss002_2	Consume	ConsumeOther	9999	1
Celestial Sigil Schematic	Blueprint_PalSummon_YakushimaBoss002	Blueprint	Blueprint	9999	1
Cement	Cement	Material	MaterialProccessing	9999	2
Ceremonial Candlestick Schematic	Blueprint_FireStand	Blueprint	Blueprint	9999	1
Champion's Emblem	PlayerDropItem	Material	MaterialJewelry	9999	1
Charcoal	Charcoal	Material	MaterialIngot	9999	1
Charge Rifle	ChargeLaserRifle	Weapon	WeaponAssaultRifle	1	5
Charge Rifle	ChargeLaserRifle_2	Weapon	WeaponAssaultRifle	1	5
Charge Rifle	ChargeLaserRifle_3	Weapon	WeaponAssaultRifle	1	5
Charge Rifle	ChargeLaserRifle_4	Weapon	WeaponAssaultRifle	1	5
Charge Rifle	ChargeLaserRifle_5	Weapon	WeaponAssaultRifle	1	5
Charge Rifle Ammo	ChargeLaserRifleBullet	Ammo	ConsumeBullet	9999	5
Charge Rifle Schematic 1	Blueprint_ChargeLaserRifle_2	Blueprint	Blueprint	9999	1
Charge Rifle Schematic 2	Blueprint_ChargeLaserRifle_3	Blueprint	Blueprint	9999	1
Charge Rifle Schematic 3	Blueprint_ChargeLaserRifle_4	Blueprint	Blueprint	9999	1
Charge Rifle Schematic 4	Blueprint_ChargeLaserRifle_5	Blueprint	Blueprint	9999	1
Cheeseburger	CheeseBurger	Food	FoodDishMeat	9999	3
Chikipi Cap	HeadEquip056	Armor	ArmorHead	1	99
Chikipi Poultry	Meat_ChickenPal	Food	FoodMeat	9999	1
Chikipi Sauté	ChickenSaute	Food	FoodDishMeat	9999	2
Chillet Bounty Token	BossDefeatReward_WeaselDragon	Essential	NONE	9999	1
Chillet Ignis Saddle	SkillUnlock_WeaselDragon_Fire	Essential	Essential_PalGear	999999	0
Chillet Saddle	SkillUnlock_WeaselDragon	Essential	Essential_PalGear	999999	0
Chromite	Chromium	Material	MaterialOre	9999	1
Circuit Board	MachineParts2	Material	MaterialProccessing	9999	3
Claw	Claws	Material	MaterialMonster	9999	1
Claw	Claws2	Material	MaterialMonster	9999	1
Cloth	Cloth	Material	MaterialProccessing	9999	1
Cloth Outfit	ClothArmor	Armor	ArmorBody	1	1
Cloth Outfit	ClothArmor_2	Armor	ArmorBody	1	1
Cloth Outfit	ClothArmor_3	Armor	ArmorBody	1	1
Cloth Outfit	ClothArmor_4	Armor	ArmorBody	1	1
Cloth Outfit	ClothArmor_5	Armor	ArmorBody	1	1
Cloth Outfit Schematic 1	Blueprint_ClothArmor_2	Blueprint	Blueprint	9999	1
Cloth Outfit Schematic 2	Blueprint_ClothArmor_3	Blueprint	Blueprint	9999	1
Cloth Outfit Schematic 3	Blueprint_ClothArmor_4	Blueprint	Blueprint	9999	1
Cloth Outfit Schematic 4	Blueprint_ClothArmor_5	Blueprint	Blueprint	9999	1
Coal	Coal	Material	MaterialOre	9999	1
Coarse Ammo	RoughBullet	Ammo	ConsumeBullet	9999	2
Cold Resistant Hexolite Armor	SFArmorCold	Armor	ArmorBody	1	4
Cold Resistant Hexolite Armor	SFArmorCold_2	Armor	ArmorBody	1	4
Cold Resistant Hexolite Armor	SFArmorCold_3	Armor	ArmorBody	1	4
Cold Resistant Hexolite Armor	SFArmorCold_4	Armor	ArmorBody	1	4
Cold Resistant Hexolite Armor	SFArmorCold_5	Armor	ArmorBody	1	4
Cold Resistant Hexolite Armor Schematic 1	Blueprint_SFArmorCold_2	Blueprint	Blueprint	9999	1
Cold Resistant Hexolite Armor Schematic 2	Blueprint_SFArmorCold_3	Blueprint	Blueprint	9999	1
Cold Resistant Hexolite Armor Schematic 3	Blueprint_SFArmorCold_4	Blueprint	Blueprint	9999	1
Cold Resistant Hexolite Armor Schematic 4	Blueprint_SFArmorCold_5	Blueprint	Blueprint	9999	1
Cold Resistant Metal Armor	CopperArmorCold	Armor	ArmorBody	1	2
Cold Resistant Metal Armor	CopperArmorCold_2	Armor	ArmorBody	1	2
Cold Resistant Metal Armor	CopperArmorCold_3	Armor	ArmorBody	1	2
Cold Resistant Metal Armor	CopperArmorCold_4	Armor	ArmorBody	1	2
Cold Resistant Metal Armor	CopperArmorCold_5	Armor	ArmorBody	1	2
Cold Resistant Metal Armor Schematic 1	Blueprint_CopperArmorCold_2	Blueprint	Blueprint	9999	1
Cold Resistant Metal Armor Schematic 2	Blueprint_CopperArmorCold_3	Blueprint	Blueprint	9999	1
Cold Resistant Metal Armor Schematic 3	Blueprint_CopperArmorCold_4	Blueprint	Blueprint	9999	1
Cold Resistant Metal Armor Schematic 4	Blueprint_CopperArmorCold_5	Blueprint	Blueprint	9999	1
Cold Resistant Pal Metal Armor	StealArmorCold	Armor	ArmorBody	1	4
Cold Resistant Pal Metal Armor	StealArmorCold_2	Armor	ArmorBody	1	4
Cold Resistant Pal Metal Armor	StealArmorCold_3	Armor	ArmorBody	1	4
Cold Resistant Pal Metal Armor	StealArmorCold_4	Armor	ArmorBody	1	4
Cold Resistant Pal Metal Armor	StealArmorCold_5	Armor	ArmorBody	1	4
Cold Resistant Pal Metal Armor Schematic 1	Blueprint_StealArmorCold_2	Blueprint	Blueprint	9999	1
Cold Resistant Pal Metal Armor Schematic 2	Blueprint_StealArmorCold_3	Blueprint	Blueprint	9999	1
Cold Resistant Pal Metal Armor Schematic 3	Blueprint_StealArmorCold_4	Blueprint	Blueprint	9999	1
Cold Resistant Pal Metal Armor Schematic 4	Blueprint_StealArmorCold_5	Blueprint	Blueprint	9999	1
Cold Resistant Pelt Armor	FurArmorCold	Armor	ArmorBody	1	2
Cold Resistant Pelt Armor	FurArmorCold_2	Armor	ArmorBody	1	2
Cold Resistant Pelt Armor	FurArmorCold_3	Armor	ArmorBody	1	2
Cold Resistant Pelt Armor	FurArmorCold_4	Armor	ArmorBody	1	2
Cold Resistant Pelt Armor	FurArmorCold_5	Armor	ArmorBody	1	2
Cold Resistant Pelt Armor Schematic 1	Blueprint_FurArmorCold_2	Blueprint	Blueprint	9999	1
Cold Resistant Pelt Armor Schematic 2	Blueprint_FurArmorCold_3	Blueprint	Blueprint	9999	1
Cold Resistant Pelt Armor Schematic 3	Blueprint_FurArmorCold_4	Blueprint	Blueprint	9999	1
Cold Resistant Pelt Armor Schematic 4	Blueprint_FurArmorCold_5	Blueprint	Blueprint	9999	1
Cold Resistant Plasteel Armor	PlasticArmorCold	Armor	ArmorBody	1	4
Cold Resistant Plasteel Armor	PlasticArmorCold_2	Armor	ArmorBody	1	4
Cold Resistant Plasteel Armor	PlasticArmorCold_3	Armor	ArmorBody	1	4
Cold Resistant Plasteel Armor	PlasticArmorCold_4	Armor	ArmorBody	1	4
